anio;jurisdiccion_de_residencia_id;jurisdicion_residencia_nombre;cie10_causa_id;cie10_clasificacion;sexo_id;Sexo;muerte_materna_id;muerte_materna_clasificacion;grupo_edad;cantidad
2023;58;Neuquén;W80;Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias;1;masculino;;;01.De a 0  a 14 anios;1
2023;6;Buenos Aires;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;1;masculino;;;01.De a 0  a 14 anios;23
2023;14;Córdoba;W78;Inhalación de contenidos gástricos;2;femenino;;;01.De a 0  a 14 anios;1
2023;34;Formosa;X49;Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados;1;masculino;;;01.De a 0  a 14 anios;1
2023;66;Salta;W84;Obstrucción no especificada de la respiración;2;femenino;;;01.De a 0  a 14 anios;1
2023;74;San Luis;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;2;femenino;;;01.De a 0  a 14 anios;2
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;22;Chaco;W78;Inhalación de contenidos gástricos;1;masculino;;;01.De a 0  a 14 anios;1
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;78;Santa Cruz;W80;Inhalación e ingestión de otros objetos que causan obstrucción de las vías respiratorias;1;masculino;;;01.De a 0  a 14 anios;1
2023;66;Salta;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;1;masculino;;;01.De a 0  a 14 anios;1
2023;18;Corrientes;X09;Exposición a humos, fuegos o llamas no especificados;1;masculino;;;01.De a 0  a 14 anios;1
2023;58;Neuquén;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;1;masculino;;;01.De a 0  a 14 anios;1
2023;22;Chaco;X97;Agresión con humo, fuego y llamas;1;masculino;;;01.De a 0  a 14 anios;1
2023;90;Tucumán;X59;Exposición a factores no especificados;2;femenino;;;01.De a 0  a 14 anios;1
2023;6;Buenos Aires;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;2;femenino;;;01.De a 0  a 14 anios;7
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;2;femenino;;;01.De a 0  a 14 anios;1
2023;38;Jujuy;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;10;Catamarca;W22;Golpe contra o golpeado por otros objetos;1;masculino;;;01.De a 0  a 14 anios;1
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;2;Ciudad Autónoma de Buenos Aires;X59;Exposición a factores no especificados;2;femenino;;;01.De a 0  a 14 anios;1
2023;6;Buenos Aires;X59;Exposición a factores no especificados;2;femenino;;;01.De a 0  a 14 anios;2
2023;62;Río Negro;W79;Inhalación e ingestión de alimento que causa obstrucción de las vías respiratorias;2;femenino;;;01.De a 0  a 14 anios;1
2023;6;Buenos Aires;W84;Obstrucción no especificada de la respiración;2;femenino;;;01.De a 0  a 14 anios;1
2023;10;Catamarca;W70;Ahogamiento y sumersión posterior a caída en aguas naturales;1;masculino;;;01.De a 0  a 14 anios;1
2023;22;Chaco;X49;Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados;2;femenino;;;01.De a 0  a 14 anios;1
2023;14;Córdoba;W84;Obstrucción no especificada de la respiración;1;masculino;;;01.De a 0  a 14 anios;1
2023;50;Mendoza;V43;Ocupante de automóvil lesionado por colisión con otro automóvil, camioneta o furgoneta;1;masculino;;;01.De a 0  a 14 anios;1
